Unnamed: 0,P1_001N,P2_002N,P1_002N,P1_004N,P1_008N,state,county,tract,GEOID,B03002_001E,B03002_012E,B02001_002E,B02001_003E,B02001_007E,B04004_022E,B04004_045E,B04004_074E,B04004_097E,B04004_016E,B04004_030E,B04004_007E,B04004_048E,B04004_008E,B04004_050E,B04004_009E,B04004_010E,B04004_056E,B04004_011E,B04004_012E,B04004_084E,B04004_013E,B04004_091E,B04004_006E,B04004_014E,B04004_015E,B04004_017E,mena_world_bank_ACS,mena_unhcr_ACS,mena_unsd_ACS,hispanic_PL_pct,white_PL_pct,black_PL_pct,sor_PL_pct,hispanic_ACS_pct,white_ACS_pct,black_ACS_pct,sor_ACS_pct,brazilian_ACS_pct,guyanese_ACS_pct,cabo_verdean_ACS_pct,belizean_ACS_pct,armenian_ACS_pct,cypriot_ACS_pct,egyptian_ACS_pct,iranian_ACS_pct,iraqi_ACS_pct,israeli_ACS_pct,jordanian_ACS_pct,lebanese_ACS_pct,maltese_ACS_pct,moroccan_ACS_pct,palestinian_ACS_pct,sudanese_ACS_pct,syrian_ACS_pct,turkish_ACS_pct,arab_ACS_pct,arab_arab_ACS_pct,arab_other_ACS_pct,chaldean_ACS_pct,mena_world_bank_ACS_pct,mena_unhcr_ACS_pct,mena_unsd_ACS_pct
0,3038,205,2645,144,80,6,1,400100,6001400100,3269,167,2385,171,25,0,0,0,0,0,0,0,109,0,0,52,0,0,9,0,0,0,25,80,19,0,0,189,80,105,0.06747860434496379,0.8706385780118499,0.04739960500329164,0.026333113890717578,0.051085959008871216,0.7295809115937596,0.052309574793514835,0.007647598654022637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333435301315387,0.0,0.0,0.015907005200367086,0.0,0.0,0.0027531355154481493,0.0,0.0,0.0,0.007647598654022637,0.024472315692872438,0.005812174977057204,0.0,0.0,0.057815845824411134,0.024472315692872438,0.032119914346895075
1,2001,207,1716,40,41,6,1,400200,6001400200,2147,159,1535,38,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,43,0,43,0,43,43,48,0.10344827586206896,0.8575712143928036,0.01999000499750125,0.02048975512243878,0.07405682347461574,0.7149510945505356,0.017699115044247787,0.011644154634373545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002328830926874709,0.020027945971122497,0.0,0.020027945971122497,0.0,0.020027945971122497,0.020027945971122497,0.022356776897997206
2,5504,547,4772,561,191,6,1,400300,6001400300,5619,568,3403,529,424,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,42,0,42,42,42,0.09938226744186046,0.8670058139534884,0.10192587209302326,0.03470203488372093,0.1010856024203595,0.605623776472682,0.09414486563445452,0.07545826659547962,0.011033991813489945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007474639615589963,0.0,0.007474639615589963,0.0,0.007474639615589963,0.007474639615589963,0.007474639615589963
3,4112,374,3595,289,122,6,1,400400,6001400400,4278,306,2832,525,77,0,0,0,0,0,0,0,10,0,0,0,7,0,0,0,0,0,0,7,0,0,0,17,7,7,0.0909533073929961,0.8742704280155642,0.07028210116731518,0.029669260700389104,0.07152875175315568,0.6619915848527349,0.12272089761570827,0.017999064983637212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023375409069658717,0.0,0.0,0.0,0.0016362786348761104,0.0,0.0,0.0,0.0,0.0,0.0,0.0016362786348761104,0.0,0.0,0.0,0.003973819541841982,0.0016362786348761104,0.0016362786348761104
4,3644,437,3086,625,168,6,1,400500,6001400500,3949,612,1778,1000,298,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0.1199231613611416,0.8468715697036224,0.17151481888035125,0.04610318331503842,0.15497594327677894,0.4502405672322107,0.2532286654849329,0.07546214231451,0.0,0.0,0.0,0.0,0.0032919726513041276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032919726513041276
5,1788,188,1519,437,106,6,1,400600,6001400600,2058,134,939,539,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,22,0,22,22,22,0.10514541387024609,0.8495525727069351,0.24440715883668904,0.0592841163310962,0.06511175898931001,0.45626822157434405,0.2619047619047619,0.04081632653061224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010689990281827016,0.0,0.010689990281827016,0.0,0.010689990281827016,0.010689990281827016,0.010689990281827016
6,4508,633,3939,1221,313,6,1,400700,6001400700,4758,470,2420,1112,113,0,0,8,0,0,0,0,22,0,0,0,0,0,0,0,0,0,15,12,12,0,0,34,12,27,0.1404170363797693,0.8737799467613132,0.27085181898846494,0.0694321206743567,0.09878100042034468,0.5086170659941152,0.23371164354770912,0.0237494745691467,0.0,0.0,0.0016813787305590584,0.0,0.0,0.0,0.0,0.004623791509037411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031525851197982345,0.0025220680958385876,0.0025220680958385876,0.0,0.0,0.007145859604875998,0.0025220680958385876,0.005674653215636823
7,3917,500,3479,995,252,6,1,400800,6001400800,4335,387,2241,664,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,87,87,0,0,87,87,96,0.12764871074802145,0.8881797293847332,0.25402093438856266,0.0643349502170028,0.08927335640138408,0.5169550173010381,0.15317185697808536,0.05674740484429066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020761245674740486,0.020069204152249134,0.020069204152249134,0.0,0.0,0.020069204152249134,0.020069204152249134,0.022145328719723183
8,2514,374,2135,639,161,6,1,400900,6001400900,2844,533,1104,710,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,32,0,32,32,32,0.14876690533015116,0.8492442322991249,0.2541766109785203,0.06404136833731106,0.18741209563994374,0.3881856540084388,0.24964838255977498,0.1388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011251758087201125,0.0,0.011251758087201125,0.0,0.011251758087201125,0.011251758087201125,0.011251758087201125
9,6097,977,5335,1869,440,6,1,401000,6001401000,6277,1389,2436,1478,781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,0,33,33,33,0.16024274233229457,0.8750205018861735,0.3065442020665901,0.07216663933081843,0.22128405289150868,0.3880834793691254,0.2354628007009718,0.12442249482236738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005257288513621157,0.0,0.005257288513621157,0.0,0.005257288513621157,0.005257288513621157,0.005257288513621157
