Unnamed: 0,P1_001N,P2_002N,P1_002N,P1_004N,P1_008N,state,county,tract,GEOID,B03002_001E,B03002_012E,B02001_002E,B02001_003E,B02001_007E,B04004_022E,B04004_045E,B04004_074E,B04004_097E,B04004_016E,B04004_030E,B04004_007E,B04004_048E,B04004_008E,B04004_050E,B04004_009E,B04004_010E,B04004_056E,B04004_011E,B04004_012E,B04004_084E,B04004_013E,B04004_091E,B04004_006E,B04004_014E,B04004_015E,B04004_017E,mena_world_bank_ACS,mena_unhcr_ACS,mena_unsd_ACS,hispanic_PL_pct,white_PL_pct,black_PL_pct,sor_PL_pct,hispanic_ACS_pct,white_ACS_pct,black_ACS_pct,sor_ACS_pct,brazilian_ACS_pct,guyanese_ACS_pct,cabo_verdean_ACS_pct,belizean_ACS_pct,armenian_ACS_pct,cypriot_ACS_pct,egyptian_ACS_pct,iranian_ACS_pct,iraqi_ACS_pct,israeli_ACS_pct,jordanian_ACS_pct,lebanese_ACS_pct,maltese_ACS_pct,moroccan_ACS_pct,palestinian_ACS_pct,sudanese_ACS_pct,syrian_ACS_pct,turkish_ACS_pct,arab_ACS_pct,arab_arab_ACS_pct,arab_other_ACS_pct,chaldean_ACS_pct,mena_world_bank_ACS_pct,mena_unhcr_ACS_pct,mena_unsd_ACS_pct
0,2073,258,1865,1279,149,36,1,100,36001000100,2259,346,750,989,280,0,13,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,14,0,0,0,14,14,14,0.1244573082489146,0.899662325132658,0.6169802219006271,0.0718765074770863,0.1531651173085436,0.3320053120849933,0.4378043382027445,0.1239486498450642,0.0,0.0057547587428065,0.0,0.0,0.0,0.0,0.0,0.0,0.0061974324922532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061974324922532,0.0,0.0,0.0,0.0061974324922532,0.0061974324922532,0.0061974324922532
1,3125,345,2892,2027,144,36,1,201,36001000201,2465,174,388,1777,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1104,0.92544,0.64864,0.04608,0.0705882352941176,0.1574036511156186,0.7208924949290061,0.0093306288032454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2598,413,2389,1898,198,36,1,202,36001000202,2374,45,317,1979,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1589684372594303,0.9195535026943804,0.7305619707467282,0.0762124711316397,0.018955349620893,0.1335299073294018,0.8336141533277169,0.0016849199663016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3190,524,2845,1919,223,36,1,301,36001000301,2837,673,1005,1271,236,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1642633228840125,0.8918495297805643,0.6015673981191223,0.0699059561128526,0.2372224180472329,0.3542474444836094,0.4480084596404652,0.0831864645752555,0.0,0.0003524850193866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,3496,380,3224,677,197,36,1,302,36001000302,3200,183,2039,565,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,26,0.108695652173913,0.9221967963386728,0.193649885583524,0.0563501144164759,0.0571875,0.6371875,0.1765625,0.0140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008125,0.0,0.0,0.0,0.0,0.0,0.0,0.008125
5,2216,85,2120,221,42,36,1,401,36001000401,2301,98,2053,144,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0.0383574007220216,0.9566787003610108,0.0997292418772563,0.0189530685920577,0.0425901781833985,0.8922207735767058,0.0625814863102998,0.0,0.0,0.0,0.0,0.0,0.0026075619295958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026075619295958
6,4418,320,4139,592,125,36,1,403,36001000403,4348,154,3023,623,91,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.0724309642372114,0.9368492530556812,0.1339972838388411,0.0282933454051607,0.0354185832566697,0.6952621895124195,0.1432842686292548,0.0209291628334866,0.0,0.0,0.0,0.0,0.0025298988040478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025298988040478
7,5194,998,4954,281,441,36,1,404,36001000404,5126,981,2817,1262,358,0,16,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.1921447824412784,0.9537928378898728,0.0541008856372737,0.0849056603773584,0.1913772922356613,0.5495513070620367,0.2461958642216153,0.0698400312134217,0.0,0.0031213421771361,0.0,0.0,0.0,0.000390167772142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000390167772142
8,3440,501,3153,1475,234,36,1,501,36001000501,3471,594,1015,1501,287,0,35,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,49,0,0,0,49,49,49,0.1456395348837209,0.9165697674418604,0.4287790697674418,0.0680232558139534,0.1711322385479688,0.2924229328723711,0.4324402189570729,0.0826851051570152,0.0,0.0100835494093921,0.0,0.0,0.0,0.0,0.0,0.0,0.0141169691731489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141169691731489,0.0,0.0,0.0,0.0141169691731489,0.0141169691731489,0.0141169691731489
9,2841,261,2703,601,313,36,1,502,36001000502,3788,398,2220,714,180,0,0,0,1,0,0,0,0,26,0,0,0,0,0,0,0,0,0,26,0,0,0,26,26,26,0.0918690601900739,0.9514255543822596,0.2115452305526223,0.1101724744808166,0.1050686378035902,0.5860612460401268,0.1884899683210137,0.0475184794086589,0.0,0.0,0.0,0.0002639915522703,0.0,0.0,0.0,0.0,0.0068637803590285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068637803590285,0.0,0.0,0.0,0.0068637803590285,0.0068637803590285,0.0068637803590285
