,name,white,black,amin,asian,nhpi,other,two_or_more,nh_white,nh_black,nh_amin,nh_asian,nh_nhpi,nh_other,nh_two_or_more,state_name,h_white,h_black,h_amin,h_asian,h_nhpi,h_other,h_two_or_more,nh_total,h_total,GEOID
0,"Autauga County, Alabama",42160.0,11445.0,217.0,881.0,35.0,910.0,3157.0,41582.0,11352.0,184.0,873.0,22.0,185.0,2490.0,01,578.0,93.0,33.0,8.0,13.0,725.0,667.0,56688.0,2117.0,01001
1,"Baldwin County, Alabama",189399.0,18217.0,1582.0,2067.0,143.0,5335.0,15024.0,186495.0,18001.0,1291.0,2029.0,122.0,775.0,10368.0,01,2904.0,216.0,291.0,38.0,21.0,4560.0,4656.0,219081.0,12686.0,01003
2,"Barbour County, Alabama",11317.0,11933.0,116.0,117.0,1.0,1039.0,700.0,11086.0,11850.0,58.0,103.0,0.0,63.0,553.0,01,231.0,83.0,58.0,14.0,1.0,976.0,147.0,23713.0,1510.0,01005
3,"Bibb County, Alabama",16555.0,4413.0,60.0,32.0,9.0,465.0,759.0,16442.0,4390.0,39.0,26.0,9.0,47.0,600.0,01,113.0,23.0,21.0,6.0,0.0,418.0,159.0,21553.0,740.0,01007
4,"Blount County, Alabama",50663.0,845.0,337.0,178.0,24.0,3431.0,3656.0,49764.0,826.0,188.0,174.0,11.0,100.0,2300.0,01,899.0,19.0,149.0,4.0,13.0,3331.0,1356.0,53363.0,5771.0,01009
5,"Bullock County, Alabama",2320.0,7396.0,72.0,9.0,10.0,302.0,248.0,2281.0,7388.0,1.0,9.0,7.0,31.0,137.0,01,39.0,8.0,71.0,0.0,3.0,271.0,111.0,9854.0,503.0,01011
6,"Butler County, Alabama",9752.0,8430.0,29.0,143.0,5.0,105.0,587.0,9679.0,8389.0,23.0,143.0,5.0,46.0,506.0,01,73.0,41.0,6.0,0.0,0.0,59.0,81.0,18791.0,260.0,01013
7,"Calhoun County, Alabama",80586.0,25559.0,487.0,1190.0,119.0,2471.0,6029.0,79519.0,25365.0,386.0,1164.0,112.0,317.0,4568.0,01,1067.0,194.0,101.0,26.0,7.0,2154.0,1461.0,111431.0,5010.0,01015
8,"Lewis County, Kentucky",12633.0,36.0,18.0,9.0,4.0,25.0,355.0,12599.0,36.0,18.0,9.0,4.0,6.0,325.0,21,34.0,0.0,0.0,0.0,0.0,19.0,30.0,12997.0,83.0,21135
9,"Lincoln County, Kentucky",22671.0,470.0,40.0,60.0,2.0,183.0,849.0,22493.0,459.0,33.0,60.0,2.0,46.0,707.0,21,178.0,11.0,7.0,0.0,0.0,137.0,142.0,23800.0,475.0,21137
10,"Livingston County, Kentucky",8287.0,25.0,25.0,15.0,6.0,81.0,449.0,8232.0,25.0,19.0,12.0,6.0,14.0,394.0,21,55.0,0.0,6.0,3.0,0.0,67.0,55.0,8702.0,186.0,21139
11,"Logan County, Kentucky",23902.0,1682.0,59.0,95.0,2.0,486.0,1206.0,23681.0,1680.0,43.0,95.0,2.0,92.0,986.0,21,221.0,2.0,16.0,0.0,0.0,394.0,220.0,26579.0,853.0,21141
12,"Lyon County, Kentucky",7772.0,510.0,27.0,34.0,1.0,84.0,252.0,7733.0,507.0,25.0,34.0,0.0,21.0,208.0,21,39.0,3.0,2.0,0.0,1.0,63.0,44.0,8528.0,152.0,21143
13,"McCracken County, Kentucky",54304.0,7598.0,214.0,663.0,18.0,975.0,4103.0,53801.0,7539.0,170.0,660.0,18.0,223.0,3329.0,21,503.0,59.0,44.0,3.0,0.0,752.0,774.0,65740.0,2135.0,21145
14,"McCreary County, Kentucky",15315.0,916.0,64.0,32.0,3.0,69.0,489.0,15072.0,908.0,58.0,32.0,3.0,17.0,433.0,21,243.0,8.0,6.0,0.0,0.0,52.0,56.0,16523.0,365.0,21147
15,"Madison County, Kentucky",80557.0,3963.0,271.0,1006.0,60.0,1218.0,5626.0,79591.0,3880.0,190.0,1006.0,56.0,260.0,4654.0,21,966.0,83.0,81.0,0.0,4.0,958.0,972.0,89637.0,3064.0,21151
16,"Marion County, Kentucky",16948.0,1214.0,23.0,134.0,47.0,339.0,876.0,16779.0,1209.0,0.0,123.0,47.0,53.0,689.0,21,169.0,5.0,23.0,11.0,0.0,286.0,187.0,18900.0,681.0,21155
17,"Marshall County, Kentucky",29908.0,101.0,69.0,136.0,9.0,155.0,1281.0,29697.0,101.0,60.0,129.0,9.0,45.0,1079.0,21,211.0,0.0,9.0,7.0,0.0,110.0,202.0,31120.0,539.0,21157
18,"Mason County, Kentucky",14867.0,1024.0,40.0,111.0,0.0,168.0,910.0,14777.0,1017.0,29.0,107.0,0.0,43.0,791.0,21,90.0,7.0,11.0,4.0,0.0,125.0,119.0,16764.0,356.0,21161
19,"Meade County, Kentucky",26321.0,987.0,139.0,218.0,74.0,341.0,1923.0,25912.0,952.0,132.0,217.0,73.0,121.0,1463.0,21,409.0,35.0,7.0,1.0,1.0,220.0,460.0,28870.0,1133.0,21163
20,"Mercer County, Kentucky",20268.0,768.0,62.0,74.0,14.0,362.0,1093.0,20100.0,748.0,40.0,74.0,14.0,82.0,880.0,21,168.0,20.0,22.0,0.0,0.0,280.0,213.0,21938.0,703.0,21167
21,"Metcalfe County, Kentucky",9701.0,117.0,5.0,7.0,0.0,136.0,320.0,9620.0,114.0,3.0,7.0,0.0,33.0,279.0,21,81.0,3.0,2.0,0.0,0.0,103.0,41.0,10056.0,230.0,21169
22,"Montgomery County, Kentucky",25566.0,621.0,57.0,146.0,1.0,468.0,1255.0,25363.0,614.0,26.0,145.0,1.0,65.0,975.0,21,203.0,7.0,31.0,1.0,0.0,403.0,280.0,27189.0,925.0,21173
23,"Morgan County, Kentucky",12570.0,496.0,20.0,17.0,4.0,66.0,553.0,12510.0,492.0,20.0,17.0,4.0,10.0,256.0,21,60.0,4.0,0.0,0.0,0.0,56.0,297.0,13309.0,417.0,21175
24,"Nelson County, Kentucky",41500.0,2200.0,95.0,268.0,8.0,462.0,2205.0,41113.0,2183.0,62.0,267.0,8.0,125.0,1766.0,21,387.0,17.0,33.0,1.0,0.0,337.0,439.0,45524.0,1214.0,21179
25,"Nicholas County, Kentucky",7178.0,41.0,15.0,7.0,3.0,66.0,227.0,7124.0,41.0,10.0,7.0,2.0,14.0,185.0,21,54.0,0.0,5.0,0.0,1.0,52.0,42.0,7383.0,154.0,21181
26,"Oldham County, Kentucky",58537.0,2244.0,200.0,1177.0,17.0,1162.0,4270.0,57836.0,2198.0,108.0,1160.0,17.0,214.0,2839.0,21,701.0,46.0,92.0,17.0,0.0,948.0,1431.0,64372.0,3235.0,21185
27,"Owen County, Kentucky",10550.0,83.0,26.0,18.0,4.0,132.0,465.0,10486.0,83.0,22.0,18.0,4.0,17.0,397.0,21,64.0,0.0,4.0,0.0,0.0,115.0,68.0,11027.0,251.0,21187
28,"Pendleton County, Kentucky",13904.0,56.0,21.0,30.0,4.0,105.0,524.0,13833.0,56.0,21.0,30.0,3.0,42.0,458.0,21,71.0,0.0,0.0,0.0,1.0,63.0,66.0,14443.0,201.0,21191
29,"Pike County, Kentucky",55974.0,496.0,81.0,373.0,14.0,253.0,1478.0,55635.0,485.0,68.0,369.0,11.0,92.0,1314.0,21,339.0,11.0,13.0,4.0,3.0,161.0,164.0,57974.0,695.0,21195
30,"Powell County, Kentucky",12559.0,66.0,28.0,30.0,0.0,93.0,353.0,12507.0,64.0,17.0,30.0,0.0,23.0,291.0,21,52.0,2.0,11.0,0.0,0.0,70.0,62.0,12932.0,197.0,21197
31,"Robertson County, Kentucky",2112.0,6.0,3.0,7.0,0.0,3.0,62.0,2106.0,6.0,3.0,7.0,0.0,0.0,52.0,21,6.0,0.0,0.0,0.0,0.0,3.0,10.0,2174.0,19.0,21201
32,"Rockcastle County, Kentucky",15378.0,60.0,35.0,30.0,0.0,83.0,451.0,15316.0,52.0,33.0,28.0,0.0,24.0,412.0,21,62.0,8.0,2.0,2.0,0.0,59.0,39.0,15865.0,172.0,21203
33,"Russell County, Kentucky",16733.0,113.0,78.0,104.0,3.0,359.0,601.0,16497.0,113.0,58.0,104.0,3.0,23.0,412.0,21,236.0,0.0,20.0,0.0,0.0,336.0,189.0,17210.0,781.0,21207
34,"Scott County, Kentucky",48523.0,2951.0,185.0,594.0,25.0,1218.0,3659.0,47704.0,2907.0,56.0,587.0,19.0,185.0,2594.0,21,819.0,44.0,129.0,7.0,6.0,1033.0,1065.0,54052.0,3103.0,21209
35,"Simpson County, Kentucky",16374.0,1640.0,80.0,94.0,8.0,303.0,1095.0,16201.0,1622.0,58.0,94.0,5.0,72.0,894.0,21,173.0,18.0,22.0,0.0,3.0,231.0,201.0,18946.0,648.0,21213
36,"Spencer County, Kentucky",17910.0,299.0,38.0,90.0,12.0,146.0,995.0,17764.0,297.0,32.0,90.0,12.0,30.0,815.0,21,146.0,2.0,6.0,0.0,0.0,116.0,180.0,19040.0,450.0,21215
