Unnamed: 0,P1_001N,P2_002N,P1_002N,P1_004N,P1_008N,state,county,tract,GEOID,B03002_001E,B03002_012E,B02001_002E,B02001_003E,B02001_007E,B04004_022E,B04004_045E,B04004_074E,B04004_097E,B04004_016E,B04004_030E,B04004_007E,B04004_048E,B04004_008E,B04004_050E,B04004_009E,B04004_010E,B04004_056E,B04004_011E,B04004_012E,B04004_084E,B04004_013E,B04004_091E,B04004_006E,B04004_014E,B04004_015E,B04004_017E,mena_world_bank_ACS,mena_unhcr_ACS,mena_unsd_ACS,hispanic_PL_pct,white_PL_pct,black_PL_pct,sor_PL_pct,hispanic_ACS_pct,white_ACS_pct,black_ACS_pct,sor_ACS_pct,brazilian_ACS_pct,guyanese_ACS_pct,cabo_verdean_ACS_pct,belizean_ACS_pct,armenian_ACS_pct,cypriot_ACS_pct,egyptian_ACS_pct,iranian_ACS_pct,iraqi_ACS_pct,israeli_ACS_pct,jordanian_ACS_pct,lebanese_ACS_pct,maltese_ACS_pct,moroccan_ACS_pct,palestinian_ACS_pct,sudanese_ACS_pct,syrian_ACS_pct,turkish_ACS_pct,arab_ACS_pct,arab_arab_ACS_pct,arab_other_ACS_pct,chaldean_ACS_pct,mena_world_bank_ACS_pct,mena_unhcr_ACS_pct,mena_unsd_ACS_pct
0,4641,310,4311,315,121,48,1,950100,48001950100,5268,488,4214,213,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0667959491488903,0.9288946347769876,0.0678733031674208,0.0260719672484378,0.0926347760060744,0.7999240698557327,0.0404328018223234,0.0130979498861047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5782,1610,5763,2174,1539,48,1,950401,48001950401,4763,1836,1551,1590,612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2784503631961259,0.9967139398132134,0.3759944655828433,0.2661708751297129,0.385471341591434,0.325635103926097,0.3338232206592483,0.1284904471971446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,7115,2002,7109,2924,1922,48,1,950402,48001950402,6540,2006,2847,2425,182,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2813773717498243,0.999156711173577,0.4109627547434996,0.2701335207308503,0.3067278287461774,0.4353211009174312,0.3707951070336391,0.02782874617737,0.0019877675840978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,4479,1631,3935,807,835,48,1,950500,48001950500,4323,1386,2549,801,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3641437820942174,0.8785443179281089,0.1801741460147354,0.1864255414154945,0.3206106870229007,0.5896368262780477,0.1852879944482998,0.0532037936618089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6036,1369,5506,1620,690,48,1,950600,48001950600,5448,1419,3712,711,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226805831676607,0.9121935056328696,0.268389662027833,0.1143141153081511,0.2604625550660793,0.6813509544787077,0.1305066079295154,0.0242290748898678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2564,738,2318,948,427,48,1,950700,48001950700,2655,562,976,1383,34,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2878315132605304,0.90405616224649,0.3697347893915756,0.1665366614664586,0.2116760828625235,0.367608286252354,0.5209039548022599,0.0128060263653483,0.0,0.0026365348399246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5427,1064,4940,1137,526,48,1,950800,48001950800,6394,974,3317,2285,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1960567532706836,0.910263497328174,0.2095080154781647,0.0969227934402063,0.1523303096653112,0.5187675946199563,0.3573662808883328,0.0187675946199562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5281,858,4882,554,385,48,1,950901,48001950901,5140,525,3829,475,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1624692293126302,0.9244461276273434,0.1049043741715584,0.0729028593069494,0.1021400778210116,0.7449416342412452,0.0924124513618677,0.0317120622568093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5090,693,4730,473,331,48,1,950902,48001950902,4667,360,3426,431,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1361493123772102,0.9292730844793712,0.0929273084479371,0.0650294695481336,0.0771373473323334,0.7340904221127063,0.0923505463895436,0.0156417398757231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3618,242,3421,99,75,48,1,951001,48001951001,4527,288,3541,409,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668877833056937,0.9455500276395798,0.0273631840796019,0.0207296849087893,0.0636182902584493,0.7821957146012812,0.090346808040645,0.0187762314998895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,3501,298,3306,208,121,48,1,951002,48001951002,3363,256,2886,190,59,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,14,0.0851185375606969,0.9443016281062554,0.0594115966866609,0.0345615538417595,0.0761225096639904,0.8581623550401427,0.0564971751412429,0.0175438596491228,0.0,0.0059470710674992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041629497472494,0.0,0.0,0.0,0.0,0.0,0.0,0.0041629497472494
11,4388,296,4106,318,94,48,1,951100,48001951100,4989,544,4148,312,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0674567000911577,0.9357338195077484,0.0724703737465815,0.0214220601640838,0.1090398877530567,0.8314291441170575,0.0625375826819001,0.0046101423130887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2405,1005,1915,15,248,48,3,950100,48003950100,2450,1260,1883,0,255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4178794178794179,0.7962577962577962,0.0062370062370062,0.1031185031185031,0.5142857142857142,0.7685714285714286,0.0,0.1040816326530612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,7710,4045,6202,114,1148,48,3,950200,48003950200,7507,3686,5232,50,1096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5246433203631647,0.8044098573281453,0.0147859922178988,0.1488975356679636,0.4910083921673105,0.696949513787132,0.0066604502464366,0.1459970694018915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,4668,3179,3707,84,1181,48,3,950300,48003950300,4777,2933,2977,367,437,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6810197086546701,0.7941302485004285,0.0179948586118251,0.2529991431019708,0.6139836717605192,0.623194473518945,0.0768264601214151,0.0914800083734561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,3827,2171,2932,24,701,48,3,950400,48003950400,3628,2759,2392,0,366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5672850796968905,0.766135354063235,0.0062712307290305,0.1831721975437679,0.7604740904079382,0.659316427783903,0.0,0.1008820286659316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,4983,745,4570,191,284,48,5,102,48005000102,5271,500,4463,349,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1495083283162753,0.9171182018864138,0.038330323098535,0.0569937788480834,0.0948586605957124,0.8467084044773288,0.0662113450958072,0.0051223676721684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,3440,782,3202,213,151,48,5,103,48005000103,3292,728,2234,324,222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2273255813953488,0.930813953488372,0.0619186046511627,0.0438953488372093,0.221142162818955,0.6786148238153098,0.0984204131227217,0.0674362089914945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2974,350,2769,69,159,48,5,104,48005000104,2878,130,2763,26,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1176866173503698,0.9310692669804976,0.02320107599193,0.0534633490248823,0.045170257123002,0.9600416956219596,0.0090340514246004,0.0211952744961779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
